Steps,Success?
65,True
55,True
30,True
5,True
60,True
25,True
65,True
60,True
85,True
65,True
70,True
80,True
55,True
65,True
55,True
55,True
55,True
75,True
80,True
75,True
60,True
75,True
60,True
55,True
75,True
55,True
80,True
60,True
80,True
55,True
80,True
75,True
65,True
70,True
5,True
75,True
50,True
60,True
70,True
65,True
75,True
70,True
55,True
75,True
55,True
60,True
65,True
85,True
40,True
30,True
5,True
65,True
50,True
70,True
50,True
50,True
65,True
65,True
55,True
70,True
65,True
65,True
70,True
65,True
80,True
80,True
65,True
70,True
55,True
60,True
55,True
65,True
65,True
75,True
80,True
5,True
65,True
70,True
60,True
35,True
70,True
70,True
70,True
25,True
5,True
65,True
70,True
70,True
60,True
75,True
75,True
70,True
60,True
70,True
60,True
60,True
80,True
55,True
55,True
75,True
80,True
65,True
5,True
55,True
80,True
65,True
70,True
5,True
80,True
65,True
80,True
70,True
65,True
60,True
70,True
75,True
70,True
70,True
70,True
75,True
45,True
60,True
50,True
70,True
70,True
30,True
5,True
50,True
40,True
5,True
75,True
65,True
60,True
70,True
40,True
70,True
45,True
70,True
30,True
80,True
75,True
60,True
70,True
75,True
70,True
75,True
55,True
70,True
75,True
55,True
70,True
10,True
45,True
45,True
55,True
60,True
60,True
55,True
65,True
85,True
60,True
70,True
35,True
60,True
5,True
5,True
55,True
25,True
60,True
75,True
70,True
55,True
35,True
80,True
75,True
5,True
80,True
65,True
55,True
70,True
65,True
70,True
50,True
80,True
70,True
70,True
30,True
65,True
55,True
70,True
75,True
60,True
40,True
75,True
85,True
75,True
45,True
55,True
65,True
50,True
50,True
50,True
65,True
55,True
75,True
65,True
60,True
70,True
75,True
70,True
45,True
65,True
70,True
75,True
80,True
70,True
45,True
65,True
50,True
55,True
65,True
75,True
75,True
65,True
75,True
80,True
75,True
70,True
85,True
70,True
30,True
65,True
75,True
80,True
70,True
75,True
80,True
80,True
40,True
65,True
70,True
5,True
60,True
40,True
70,True
60,True
65,True
55,True
50,True
70,True
70,True
65,True
75,True
65,True
65,True
60,True
75,True
65,True
50,True
75,True
45,True
75,True
65,True
40,True
60,True
70,True
65,True
70,True
5,True
75,True
65,True
55,True
60,True
75,True
85,True
85,True
75,True
60,True
45,True
55,True
75,True
75,True
25,True
80,True
65,True
15,True
65,True
75,True
60,True
70,True
70,True
45,True
65,True
40,True
65,True
80,True
40,True
70,True
80,True
70,True
15,True
35,True
60,True
75,True
45,True
5,True
5,True
65,True
5,True
50,True
60,True
70,True
75,True
80,True
50,True
70,True
80,True
70,True
70,True
80,True
35,True
55,True
5,True
70,True
65,True
60,True
55,True
80,True
70,True
65,True
75,True
65,True
45,True
70,True
60,True
45,True
65,True
80,True
70,True
75,True
5,True
65,True
30,True
70,True
65,True
40,True
80,True
80,True
70,True
75,True
75,True
70,True
50,True
65,True
65,True
55,True
75,True
65,True
65,True
80,True
85,True
70,True
55,True
45,True
80,True
10,True
55,True
75,True
40,True
55,True
40,True
65,True
80,True
70,True
65,True
60,True
60,True
60,True
45,True
70,True
80,True
25,True
80,True
80,True
5,True
45,True
50,True
70,True
70,True
80,True
75,True
60,True
80,True
65,True
60,True
80,True
60,True
60,True
65,True
25,True
60,True
5,True
60,True
80,True
70,True
70,True
70,True
45,True
60,True
80,True
70,True
65,True
70,True
65,True
75,True
65,True
75,True
55,True
45,True
70,True
60,True
75,True
70,True
80,True
85,True
70,True
75,True
75,True
75,True
60,True
40,True
70,True
70,True
65,True
75,True
75,True
45,True
70,True
70,True
60,True
55,True
70,True
75,True
55,True
55,True
35,True
75,True
65,True
55,True
60,True
50,True
5,True
30,True
75,True
50,True
75,True
75,True
65,True
40,True
70,True
60,True
50,True
75,True
5,True
70,True
70,True
70,True
65,True
60,True
55,True
80,True
40,True
70,True
65,True
75,True
80,True
60,True
65,True
60,True
70,True
60,True
80,True
70,True
85,True
80,True
20,True
65,True
75,True
80,True
65,True
70,True
5,True
70,True
75,True
65,True
55,True
55,True
60,True
85,True
85,True
80,True
50,True
75,True
55,True
65,True
45,True
65,True
55,True
90,True
75,True
35,True
75,True
50,True
75,True
65,True
45,True
50,True
50,True
70,True
65,True
60,True
75,True
75,True
60,True
85,True
80,True
50,True
55,True
45,True
50,True
55,True
75,True
55,True
65,True
65,True
55,True
55,True
65,True
50,True
60,True
70,True
40,True
85,True
30,True
25,True
55,True
60,True
65,True
55,True
65,True
65,True
70,True
85,True
65,True
70,True
60,True
80,True
70,True
65,True
75,True
60,True
55,True
70,True
50,True
45,True
55,True
50,True
60,True
60,True
80,True
40,True
45,True
75,True
75,True
55,True
5,True
75,True
75,True
80,True
40,True
60,True
5,True
30,True
70,True
75,True
70,True
55,True
60,True
70,True
50,True
5,True
80,True
65,True
70,True
70,True
85,True
80,True
60,True
80,True
80,True
60,True
65,True
35,True
50,True
60,True
80,True
45,True
35,True
60,True
70,True
75,True
70,True
60,True
40,True
75,True
55,True
35,True
65,True
60,True
45,True
45,True
50,True
70,True
80,True
55,True
70,True
75,True
65,True
70,True
65,True
65,True
70,True
75,True
15,True
55,True
55,True
80,True
70,True
75,True
70,True
70,True
85,True
55,True
75,True
65,True
70,True
60,True
65,True
50,True
35,True
65,True
45,True
5,True
70,True
75,True
50,True
40,True
75,True
75,True
85,True
70,True
65,True
70,True
70,True
80,True
80,True
65,True
50,True
65,True
75,True
80,True
40,True
70,True
85,True
50,True
55,True
35,True
50,True
70,True
20,True
40,True
70,True
70,True
75,True
50,True
35,True
70,True
75,True
75,True
50,True
65,True
45,True
80,True
80,True
75,True
55,True
50,True
40,True
65,True
60,True
70,True
65,True
50,True
75,True
25,True
60,True
65,True
60,True
45,True
75,True
65,True
70,True
75,True
70,True
70,True
80,True
70,True
65,True
80,True
15,True
75,True
45,True
55,True
75,True
75,True
70,True
80,True
75,True
75,True
50,True
70,True
65,True
55,True
75,True
70,True
25,True
45,True
70,True
80,True
80,True
70,True
80,True
60,True
60,True
50,True
80,True
55,True
75,True
70,True
70,True
70,True
60,True
70,True
70,True
80,True
55,True
75,True
70,True
80,True
80,True
5,True
65,True
5,True
75,True
60,True
60,True
70,True
65,True
65,True
30,True
35,True
60,True
50,True
70,True
60,True
60,True
70,True
5,True
70,True
75,True
50,True
75,True
65,True
40,True
50,True
70,True
60,True
25,True
65,True
60,True
80,True
70,True
70,True
75,True
60,True
60,True
50,True
70,True
80,True
75,True
70,True
35,True
65,True
80,True
55,True
80,True
65,True
65,True
60,True
80,True
65,True
60,True
75,True
65,True
50,True
75,True
60,True
60,True
75,True
80,True
70,True
65,True
70,True
75,True
70,True
70,True
70,True
60,True
70,True
50,True
75,True
55,True
55,True
60,True
80,True
40,True
65,True
80,True
70,True
70,True
60,True
70,True
65,True
5,True
65,True
70,True
50,True
55,True
65,True
70,True
65,True
70,True
70,True
70,True
65,True
70,True
60,True
55,True
70,True
55,True
85,True
60,True
75,True
55,True
55,True
70,True
45,True
60,True
60,True
55,True
55,True
65,True
70,True
80,True
65,True
65,True
60,True
70,True
65,True
5,True
60,True
50,True
70,True
80,True
80,True
20,True
5,True
65,True
60,True
5,True
50,True
80,True
70,True
75,True
70,True
60,True
5,True
65,True
40,True
80,True
45,True
60,True
70,True
65,True
80,True
70,True
80,True
70,True
55,True
5,True
60,True
45,True
45,True
40,True
20,True
75,True
60,True
65,True
65,True
75,True
75,True
65,True
65,True
75,True
70,True
75,True
70,True
55,True
75,True
65,True
50,True
65,True
5,True
25,True
65,True
75,True
80,True
5,True
60,True
5,True
5,True
80,True
55,True
75,True
80,True
70,True
65,True
35,True
55,True
30,True
20,True
70,True
55,True
40,True
75,True
80,True
80,True
70,True
70,True
65,True
65,True
45,True
55,True
65,True
50,True
50,True
70,True
75,True
5,True
60,True
5,True
5,True
80,True
70,True
55,True
60,True
60,True
75,True
60,True
65,True
65,True
60,True
55,True
75,True
80,True
35,True
75,True
70,True
5,True
30,True
45,True
70,True
75,True
75,True
55,True
70,True
60,True
65,True
40,True
50,True
75,True
5,True
70,True
65,True
65,True
5,True
80,True
70,True
70,True
45,True
55,True
65,True
60,True
45,True
75,True
75,True
80,True
65,True
80,True
45,True
40,True
75,True
75,True
45,True
60,True
75,True
5,True
50,True
65,True
75,True
65,True
55,True
50,True
75,True
75,True
55,True
50,True
65,True
35,True
25,True
70,True
70,True
65,True
70,True
75,True
70,True
80,True
25,True
70,True
70,True
55,True
75,True
45,True
60,True
55,True
80,True
55,True
35,True
55,True
70,True
60,True
60,True
70,True
70,True
75,True
65,True
10,True
55,True
60,True
80,True
45,True
60,True
80,True
60,True
85,True
70,True
60,True
70,True
35,True
70,True
60,True
70,True
75,True
50,True
80,True
80,True
60,True
60,True
75,True
65,True
90,True
50,True
40,True
85,True
65,True
60,True
70,True
80,True
85,True
40,True
75,True
30,True
40,True
55,True
55,True
70,True
50,True
5,True
5,True
50,True
60,True
60,True
60,True
75,True
75,True
70,True
75,True
45,True
65,True
75,True
75,True
75,True
80,True
45,True
60,True
75,True
45,True
80,True
70,True
80,True
45,True
65,True
40,True
80,True
80,True
60,True
50,True
75,True
65,True
65,True
75,True
5,True
75,True
70,True
65,True
80,True
75,True
65,True
40,True
70,True
55,True
70,True
5,True
75,True
70,True
10,True
75,True
70,True
50,True
75,True
45,True
30,True
60,True
75,True
80,True
65,True
65,True
80,True
70,True
40,True
30,True
35,True
70,True
40,True
60,True
80,True
45,True
50,True
80,True
75,True
5,True
5,True
60,True
75,True
55,True
60,True
65,True
70,True
55,True
60,True
75,True
60,True
75,True
55,True
60,True
40,True
60,True
45,True
70,True
65,True
55,True
65,True
80,True
50,True
75,True
55,True
70,True
50,True
65,True
70,True
70,True
60,True
80,True
5,True
5,True
75,True
70,True
30,True
40,True
75,True
65,True
75,True
50,True
65,True
60,True
60,True
55,True
75,True
80,True
80,True
75,True
70,True
70,True
80,True
60,True
55,True
65,True
70,True
75,True
55,True
75,True
75,True
75,True
50,True
75,True
60,True
40,True
50,True
75,True
60,True
80,True
95,False
50,True
70,True
80,True
65,True
70,True
75,True
45,True
75,True
45,True
5,True
65,True
65,True
35,True
55,True
85,True
75,True
5,True
75,True
55,True
50,True
60,True
75,True
60,True
75,True
75,True
75,True
55,True
40,True
75,True
70,True
45,True
70,True
5,True
80,True
40,True
70,True
70,True
60,True
30,True
60,True
35,True
70,True
55,True
75,True
65,True
65,True
50,True
50,True
70,True
65,True
75,True
65,True
70,True
40,True
65,True
70,True
75,True
65,True
35,True
60,True
75,True
60,True
55,True
70,True
85,True
70,True
60,True
70,True
75,True
65,True
65,True
65,True
60,True
75,True
30,True
20,True
80,True
5,True
55,True
65,True
45,True
65,True
60,True
80,True
80,True
70,True
60,True
80,True
60,True
80,True
75,True
35,True
35,True
55,True
60,True
75,True
65,True
70,True
80,True
60,True
25,True
80,True
75,True
15,True
70,True
45,True
75,True
45,True
5,True
60,True
75,True
80,True
75,True
75,True
65,True
60,True
70,True
45,True
70,True
20,True
70,True
75,True
80,True
70,True
75,True
75,True
70,True
85,True
70,True
25,True
60,True
55,True
50,True
60,True
40,True
80,True
75,True
75,True
70,True
75,True
75,True
75,True
75,True
45,True
75,True
70,True
75,True
65,True
75,True
75,True
55,True
50,True
70,True
75,True
65,True
65,True
55,True
55,True
65,True
70,True
65,True
70,True
65,True
50,True
65,True
70,True
70,True
5,True
70,True
40,True
25,True
55,True
50,True
35,True
50,True
75,True
70,True
60,True
25,True
70,True
25,True
5,True
35,True
75,True
45,True
50,True
35,True
65,True
80,True
70,True
80,True
65,True
75,True
70,True
60,True
70,True
25,True
80,True
70,True
55,True
75,True
60,True
50,True
80,True
75,True
50,True
5,True
80,True
75,True
5,True
75,True
50,True
70,True
75,True
65,True
40,True
55,True
75,True
70,True
85,True
55,True
50,True
55,True
40,True
45,True
70,True
65,True
35,True
55,True
70,True
5,True
70,True
35,True
65,True
55,True
30,True
40,True
80,True
75,True
60,True
75,True
65,True
70,True
50,True
80,True
80,True
75,True
35,True
65,True
55,True
45,True
5,True
60,True
80,True
65,True
65,True
